,Communalities
39　 ほとんどの人が信頼できないと感じる。,0.28577956639269847
40　 小さな声で話す。,0.3185946777821372
41　 リスクを負うことに抵抗がない。,0.2946636079892677
42　 相手が自分を大切に思えるように、私は相手に言いなりになる。,0.27700495165825695
43　 古典文学の名作を読んだ経験がある。,0.19689015122575942
44　 すべてが「完璧」であることを望む。,0.31701158521131045
45　 他人を許すのが難しい。,0.38211554944314147
46　 勢いよく、賑やかに笑う。,0.37303020922339564
47　 スカイダイビングをすることは絶対にない。,0.13936016565929582
48　 気分次第で忠誠心を変えることがある。,0.17354028145946918
1　 普通の人と見なされるのが好きだ。,0.2985828162965321
2　 自分が何をしているのか分からないことがある。,0.32194567753810127
3　 自分は他の人より短気な方だと思う。,0.46347864327155025
4　 疲れやすい。,0.35031878372197967
5　 感情的になる人の気持ちが分からない。,0.2903498907002028
6　 チャンスがあれば自慢する傾向がある。,0.2976060837068521
7　 権威に反抗する。,0.16938341149891067
8　 事前に考えずに物事に飛び込むことがある。,0.27671756985610696
9　 めったにイライラしない。,0.5520128111967411
10　 笑顔でいることが多い。,0.4633977451998103
11　 他人の必要としていることに対して敏感に反応する。,0.2659284454491211
12　 自分を平均的な人間だと思っている。,0.2049247877320337
13　 他人の反応を予想するのに苦労する。,0.13311532291357564
14　 細かいところにあまり気を使わない。,0.3095088181514643
15　 自分の要求が多く、満足しにくい。,0.33456587893933476
16　 人に心を開くのが難しい。,0.38188620145944674
17　 誰かと一緒にいないと落ち着かない。,0.18470101696353508
18　 高級レストランで食事をするのが好きだ。,0.08954628664620704
19　 アイデアに満ちている。,0.48358642631089266
20　 すべての細部にまで気を配りたい。,0.3475467523475071
21　 批判されると感情的に反応する。,0.40438742097105196
22　 友達を作るのが得意だ。,0.4965222506447701
23　 誰かに守られたいと感じる。,0.32909486143661487
24　 権力を強く求めている。,0.35910092709458735
25　 政治的・社会的な問題についてあまり興味がない。,0.18550713818997389
26　 何もせずにぶらぶらしていることが多い。,0.18100161027528872
27　 毒舌になることがある。,0.3121390493025961
28　 注目されるのが苦手だ。,0.37111411608546596
29　 プレッシャーがかかっても冷静でいられる。,0.41735795231105577
30　 今までの人生で仲のいい友人を裏切ったことがある。,0.15169691427405022
31　 読みごたえのある本を読むのが好きだ。,0.24423611717701552
32　 とにかく一生懸命働く。,0.2828691573485068
33　 誰に対しても良い言葉をかける。,0.2583631716013778
34　 リーダーシップを発揮できる。,0.4722737125600107
35　 不安なことが頭に浮かぶとなかなか落ち着かない。,0.3526395096936946
36　 誰かから物を盗んだら、長い間罪悪感を感じるだろう。,0.3882920508838063
37　 コンサートが好きではない。,0.2510168358369737
38　 物を元の場所に戻すのをよく忘れる。,0.3359518698587092
39　 基本的に人を信用していない。,0.22304721001467243
40　 感情を内に秘めることが多い。,0.2528689948997684
41　 燃えている建物から人々を救うのが得意だろう。,0.29799721480075103
42　 権力を持っている人を喜ばせる必要があると感じる。,0.2146716884669649
43　 「大地とのつながり」を感じることを楽しむ。,0.1624635668922067
44　 部屋を片付けるのが好きだ。,0.2386311285010947
45　 怒るべき相手にも優しく接する。,0.29993086532180147
46　 イライラした時はそれについて人に話す。,0.27572616655090415
47　 危険な状況に直面すると震えが止まらない。,0.2648471194997396
48　 人を感心させるためにわざと演技をする。,0.3032313888916774
1　 保守的で堅実な人だと思われることを好む。,0.2870394827090284
2　 うっかりミスをすることがある。,0.38032046590607943
3　 ちょっとしたことでもすぐに怒りがこみ上げる。,0.5871983842585939
4　 たくさん楽しむことができる。,0.3077210878055092
5　 見知らぬ人の苦しみが目に入っても、ほとんど気にしない。,0.3029933005147609
6　 自分は普通の人よりも能力が高いと思う。,0.36440274542631096
7　 他人が奇妙だと思うことをする。,0.43339102022557874
8　 計画に従って物事を進める。,0.45417412607160007
9　 普段は我慢強い方だ。,0.23905062110281622
10　 たいてい元気いっぱいで活発に動いている。,0.44072202536181304
11　 映画を観ていると泣くことがある。,0.23308037967699677
12　 自分は特別ではなくただの普通の人間だと思う。,0.3167161423828216
13　 物事を想像するのが苦手だ。,0.32327989001969054
14　 仕事で最高の品質を追求したい。,0.3998066650534
15　 自分の意見を否定されるのが耐えられない。,0.2999698035148815
16　 社交的なやり取りが多い仕事は苦手だろう。,0.4466033024143013
17　 助けを求めることがある。,0.20610891725506258
18　 他人を感心させようとする。,0.38504069555600084
19　 話をより知的な方向に導く。,0.34049694788150375
20　 細部にこだわる。,0.38494176741785324
21　 グループで話すと、誰かに不満を感じることが多い。,0.27858803824749057
22　 おしゃべりが大好きだ。,0.47265847892879104
23　 他の人に認めてもらいたい。,0.28002007201611023
24　 贅沢な買い物や高級な食事をするのが好きだ。,0.05612392579580021
25　 難しい内容の本は読まないようにしている。,0.277149718707867
26　 あまり働かない。,0.3423345882328771
27　 他人の悪口を言うことがある。,0.3604574412787456
28　 他人に話しかけるのが難しいと感じることがある。,0.3628233488359601
29　 何が起きても簡単には動揺しない。,0.3467976790612619
30　 今までの人生で物を盗んだことがある。,0.04298199517610863
31　 知的なゲームを楽しむ。,0.193353391728601
32　 仕事に厳密さを求める。,0.36034131706466654
33　 他の人のありのままを受け入れる。,0.2214436705364082
34　 人と一緒にいるのが心地よい。,0.38006338993256544
35　 ストレスを感じやすい。,0.45333007915067874
36　 レジでお釣りを多く受け取った場合、それを返す。,0.12159412905016607
37　 詩が好きではない。,0.22616498923817344
38　 始めたことを最後まで終わらせないことがある。,0.2783469433410889
39　 復讐したい人がいる。,0.22079391782514687
40　 普段あまり人と話さない。,0.6151612004222401
41　 危険な状況を愛している。,0.3451568645339266
42　 状況によって違う自分を演じることがある。,0.23356358441422578
43　 他の人が気づかないような美しさを見つける。,0.40037341133933624
44　 整然としていることを好む。,0.26056467733466604
45　 他人を許す傾向がある。,0.36593070770827035
46　 飲み会では盛り上げ役になる。,0.3787413356318888
47　 犯罪が多い地域を歩くことに恐怖を感じる。,0.255789151996047
48　 自分の思い通りにするためにあえて相手に共感する。,0.268036505643893
1　 普通の「主流」な人と見なされるのが好きだ。,0.1956800624712544
2　 気になることがあるときに衝動的に行動する。,0.17035741465825638
3　 すぐに怒りを感じる。,0.6563983857077863
4　 自分には精神的な強さがとてもあると感じる。,0.27720253387166777
5　 悲しい物語を読んでもめったに涙ぐむことはない。,0.28038540059085026
6　 自分は普通の人よりも注目される存在だと思う。,0.431716797267646
7　 自分のアイデアが時々他人を驚かせることを知っている。,0.4962625704873267
8　 事前に計画を立てて、その通りに行動するようにしている。,0.3958948979708622
9　 めったに他の人に対して怒りを感じない。,0.5330839746486136
10　 体力がある。,0.23760337543594653
11　 悲しい出来事を聞くとすぐに悲しくなる。,0.3774748722095179
12　 自分自身を平凡な人だと感じている。,0.34451703252796806
13　 想像力があまり豊かではない。,0.33162377938422427
14　 よくミスを見つける。,0.1185670854333418
15　 他人のミスにイライラする。,0.43010795667340396
16　 他人と一緒にいるのをめったに楽しむことがない。,0.45717943829177465
17　 悲しんでいるとき、表情に出やすいのではないかと感じることがある。,0.29615532224651664
18　 いつまでも若くありたいと思っている。,0.11385688649849143
19　 よく新しいアイデアを思いつく。,0.4584295675676885
20　 すべてが完璧になるまでやり続ける。,0.47601015353982473
21　 人からのアドバイスを受け入れるのが得意だ。,0.16829294979709855
22　 飲み会などの集まりの場ではできるだけ多くの人と話す。,0.4259792651591016
23　 他人に影響されやすい。,0.2915557491117002
24　 見た目にこだわらない。,0.12179836876794818
25　 歴史のことをあまり知らない。,0.2101983050256735
26　 仕事が難しくなるとやめてしまう。,0.2969885078571624
27　 あらゆることにケチをつけがちだ。,0.4825817622332919
28　 目立たないようにすることが多い。,0.3557399423474957
29　 普段めったに落ち込まない。,0.4139128738638285
30　 仕事で上手くいくなら不正をする。,0.33139031547135883
31　 知らない場所を探検するのが大好きだ。,0.14116146651257708
32　 決められた始業時間よりも早く仕事を始める。,0.09776649968521542
33　 物事のありのままを受け入れる。,0.19326025045577044
34　 注目の的になることを気にしない。,0.31825953822386455
35　 普段いろいろなことを心配する。,0.3800512769719072
36　 納税で不正をすることは絶対にしない。,0.22608290642386905
37　 絵画や写真の感情的な側面にほとんど気づかない。,0.2339293481988335
38　 持ち物をあちこちに置きっぱなしにする。,0.35394324887904477
39　 侮辱されたら仕返しをしたい。,0.3793455189438079
40　 目立つことが好きではない。,0.44109487271213016
41　 自信を持って危険に立ち向かう。,0.31209084651746233
42　 相手に興味があるフリをすることがある。,0.24664681521835535
43　 音楽に深く没頭することがある。,0.18429574339907026
44　 家事をすぐに終わらせる。,0.21044330697627667
45　 嫌なことをされても許して忘れるように心がけている。,0.3282243158171503
46　 言葉に詰まることがない。,0.17332450304600683
47　 危険が迫るとパニックになるだろう。,0.404221077516109
48　 仕事で上手くいくならお世辞を言う。,0.2293007163768465
1　 哲学など抽象的なことには興味がない。,0.370268197251773
2　 よく考えずに決めてしまうことがある。,0.37255833162726193
3　 ちょっとしたことでイライラしやすい。,0.6654620845936401
4　 よく声を出して笑う。,0.3965839303251991
5　 感動的な映画を観てもめったに泣かない。,0.292018393160519
6　 自分は平均的な人よりも優れていると思う。,0.34676981597281076
7　 人から変わり者だと思われている。,0.38251724327657183
8　 事前にミスを避けるようにしている。,0.2906038712538637
9　 誰かに対して怒りを感じるには、かなりのことが必要だ。,0.35583646188221846
10　 朝から晩まで元気だ。,0.35125620985643763
11　 他の人の感情を自分のことのように感じる。,0.23868534831577415
12　 自分を他の人よりも特別に扱ってほしいとは思わない。,0.17607284735693415
13　 優れたアイデアを持っている。,0.5313424429310252
14　 すべてが完璧に計算されていることを望む。,0.42890357226666376
15　 人の意見に容易に同意しない。,0.15087414592493117
16　 他人と交流することからあまり楽しみを感じない。,0.4746643764516055
17　 悲しんでいることを人に見せることがある。,0.1924782372924628
18　 大金を持つことにとても興味がある。,0.11044721977484963
19　 鮮明なイメージを思い描ける想像力がある。,0.38588918575474723
20　 細部に気を配る。,0.4002107646772546
21　 新しい環境になっても簡単に合わせることができる。,0.27262833742515385
22　 普段、空いた時間は人と過ごすことを好む。,0.33269428363704767
23　 誰かに安心させてもらいたい。,0.29322940489395305
24　 有名人や芸能人になるのを楽しめない。,0.12083951354111776
25　 知らない言葉を調べるのが好きだ。,0.2767571127516919
26　 必要な分だけの仕事しかしない。,0.2684174465776449
27　 他人をすぐに判断する。,0.2872551733677325
28　 大勢の人の前で話すのが苦手だ。,0.36823769001526646
29　 普段めったに心配しない。,0.4130633227726675
30　 非常に巧妙で手の込んだ詐欺に感動してしまう。,0.17042321903085664
31　 歴史や科学を学ぶことに興味がある。,0.33038612168711456
32　 目標を達成するためには自分を追い込む。,0.314915699538657
33　 めったに文句や不満を言わない。,0.468676857223092
34　 即興で人前で話すのが得意だ。,0.4080839976329789
35　 結局は大したことのないことでよく心配する。,0.4083672919872295
36　 自分のものではないものを決して取らない。,0.2423477321873459
37　 芸術が好きではない。,0.44578724423224136
38　 部屋を散らかしたままにする。,0.28408982731422283
39　 恨みを持つことがある。,0.3113534691660459
40　 普段からあまり話す方ではない。,0.5372051231668672
41　 恐ろしいことをするのが好きだ。,0.35664794373599124
42　 感心されるために、何らかの役を演じる。,0.3261872111653467
43　 芸術の重要性を信じている。,0.44545014778885056
44　 物事を整理整頓するのが好きだ。,0.359915730131646
45　 自分を嫌う人にも理解を示す。,0.1964674918980839
46　 普段よく人と話す。,0.5894798185182416
47　 自分は臆病者だと思う。,0.4419921392756261
48　 自分を実際以上に見せかけようとしない。,0.14586204127967928
